Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,N SYR  LOT N SYRACUSE,106 Fergerson Ave,Syracuse,NY,13212,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.135279,-76.130647,2024-10-29,162142,2024-10-29,,,,2020-06-12,J1772
ELEC,The Hearth At Castle Gardens,1715 Castle Gardens Road,Vestal,NY,13850,E,Public,24 hours daily,,0,4,0,LIVINGSTON,GPS,42.07865,-76.08097,2024-10-29,225120,2024-10-29,,,,2022-09-18,J1772
ELEC,Charlotte Branch Library,3557 Lake Ave,Rochester,NY,14612,E,Public,24 hours daily,,0,2,0,EV Connect,GPS,43.235499,-77.624508,2024-10-29,123103,2024-10-29,,,,2019-04-01,J1772
ELEC,I Park - 145 W 56th St,145 West 56th Street,New York,NY,10019,E,Public,24 hours daily,,0,2,0,Blink Network,GPS,40.764609,-73.979517,2024-10-29,164738,2024-10-29,,,,2020-08-01,J1772
ELEC,200 East End Ave,200 East End Ave,New York,NY,10128,E,Public,24 hours daily,,0,4,0,LIVINGSTON,GPS,40.77729,-73.94355,2024-10-29,223282,2024-10-29,,,,2022-04-28,J1772
ELEC,RED HOOK V. RED HOOK,7477 S Broadway,Red Hook,NY,12571,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,41.994604,-73.87644,2024-10-29,162186,2024-10-29,,,,2020-06-12,J1772
ELEC,iPark NYC 2234 North 6th - Tesla Destination,34 North 6th St,Brooklyn,NY,11249,E,Public,,,0,3,0,Tesla Destination,200-9,40.71949,-73.963312,2024-07-01,114898,2024-10-16,P,,,2015-09-18,J1772 TESLA
ELEC,CSJ BRENTWOOD STATION 2,1725 Brentwood Rd,Brentwood,NY,11717,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.77393,-73.240723,2024-10-29,174058,2024-10-29,,,,2021-01-27,J1772
ELEC,HGI TROY HILTON TROY 1.2,243 Hoosick St,Troy,NY,12180,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.739586,-73.67092,2024-10-29,175418,2024-10-29,,,,2021-01-27,J1772
ELEC,Simmons Rockwell Ford of Bath,7329 Old Hammondsport Rd,Bath,NY,14810,E,Public - Credit card at all times,24 hours daily; customers only,A D Debit M V,0,1,1,Non-Networked,GPS,42.359798,-77.297079,2024-04-14,226523,2024-10-17,P,,,2022-08-25,J1772 J1772COMBO
ELEC,Enterprise Parking 147 Flatbush Avenue Extension - Tesla Destination,147 Flatbush Ave Ext,Brooklyn,NY,11201,E,Public,,,0,4,0,Tesla Destination,200-9,40.695154,-73.983861,2024-07-01,150576,2024-10-16,P,,,2019-03-31,TESLA
ELEC,MONROE COUNTY MCH NORTH,435 East Henrietta Road Monroe Community Hosp,Rochester,NY,14620,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.113995,-77.617214,2024-10-29,254373,2024-10-29,,,,2023-02-22,J1772
ELEC,"Love's 403 (Binghamton, NY)",2 INDUSTRIAL PARK DRIVE,Binghamton,NY,13904,E,Public,24 hours daily,,0,0,4,Electrify America,GPS,42.10129,-75.83634,2024-10-29,199188,2024-10-29,,,,2021-10-27,CHADEMO J1772COMBO
ELEC,SULLIVAN COUNTY SULLIVAN 2,14 Sturgis Rd,Monticello,NY,12701,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,41.65952,-74.6908,2024-10-29,145532,2024-10-29,,,,2019-09-26,J1772
